Well,Position,Gene,Group,TecRep,BioRep,Cq
122,F2,crbn_2,ko,2,1,31.13929245
123,F3,crbn_2,control,2,2,29.30314122
124,F4,crbn_2,ko,2,2,31.29090222
125,F5,crbn_2,control,2,3,28.12922883
126,F6,crbn_2,ko,2,3,30.03029627
127,F7,crbn_2,control,2,4,29.929627
128,F8,crbn_2,ko,2,4,31.50292408
129,F9,crbn_2,control,2,5,28.36249292
130,F10,crbn_2,ko,2,5,30.99312965
131,F11,crbn_2,control,2,6,30.40552924
132,F12,crbn_2,ko,2,6,32.29529724
133,F13,crbn_2,control,2,7,29.10202978
134,F14,crbn_2,ko,2,7,31.2240215
135,F15,crbn_2,control,2,8,29.93525294
136,F16,crbn_2,ko,2,8,32.29294013
137,F17,nexn,control,2,1,26.19353943
138,F18,nexn,ko,2,1,26.49906313
139,F19,nexn,control,2,2,26.89585823
140,F20,nexn,ko,2,2,26.15854289
141,F21,nexn,control,2,3,26.60649474
142,F22,nexn,ko,2,3,26.54091368
143,F23,nexn,control,2,4,26.66779185
144,F24,nexn,ko,2,4,26.31988495
145,G1,snail,control,1,1,24.24959248
146,G2,snail,ko,1,1,26.25022583
147,G3,snail,control,1,2,25.24114959
148,G4,snail,ko,1,2,26.05266193
149,G5,snail,control,1,3,25.11240244
150,G6,snail,ko,1,3,26.42626149
151,G7,snail,control,1,4,23.22022514
152,G8,snail,ko,1,4,26.01421197
153,G9,snail,control,1,5,24.20438395
154,G10,snail,ko,1,5,26.27711105
155,G11,snail,control,1,6,24.24491522
156,G12,snail,ko,1,6,26.26725263
157,G13,snail,control,1,7,22.12195202
158,G14,snail,ko,1,7,26.26552853
159,G15,snail,control,1,8,25.02492436
160,G16,snail,ko,1,8,26.21247194
161,G17,nexn,control,1,5,26.00447441
162,G18,nexn,ko,1,5,26.72272379
163,G19,nexn,control,1,6,26.50422219
164,G20,nexn,ko,1,6,26.56132883
165,G21,nexn,control,1,7,26.89950348
166,G22,nexn,ko,1,7,26.47950618
167,G23,nexn,control,1,8,26.34088527
168,G24,nexn,ko,1,8,26.0422009
169,H1,snail,control,2,1,24.22722244
170,H2,snail,ko,2,1,26.44526275
171,H3,snail,control,2,2,25.24451228
172,H4,snail,ko,2,2,26.19125266
173,H5,snail,control,2,3,24.52519241
174,H6,snail,ko,2,3,26.26112206
175,H7,snail,control,2,4,23.8440127
176,H8,snail,ko,2,4,26.81972622
177,H9,snail,control,2,5,24.53533536
178,H10,snail,ko,2,5,26.21266674
179,H11,snail,control,2,6,24.20358882
180,H12,snail,ko,2,6,26.26122589
181,H13,snail,control,2,7,24.27124719
182,H14,snail,ko,2,7,26.45250209
183,H15,snail,control,2,8,25.25403372
184,H16,snail,ko,2,8,26.26299102
185,H17,nexn,control,2,5,26.92202514
186,H18,nexn,ko,2,5,26.90942509
187,H19,nexn,control,2,6,26.6124301
188,H20,nexn,ko,2,6,26.19164743
189,H21,nexn,control,2,7,26.1664147
190,H22,nexn,ko,2,7,26.9253415
191,H23,nexn,control,2,8,26.69336005
192,H24,nexn,ko,2,8,26.53503174
193,I1,mrf,control,1,1,26.92708349
194,I2,mrf,ko,1,1,27.35272704
195,I3,mrf,control,1,2,27.34627415
196,I4,mrf,ko,1,2,27.52021352
197,I5,mrf,control,1,3,27.24427594
198,I6,mrf,ko,1,3,27.00274292
199,I7,mrf,control,1,4,27.24202794
200,I8,mrf,ko,1,4,27.22134264
201,I9,mrf,control,1,5,27.27275547
202,I10,mrf,ko,1,5,27.27384825
203,I11,mrf,control,1,6,27.53454013
204,I12,mrf,ko,1,6,27.27270143
205,I13,mrf,control,1,7,27.02712712
206,I14,mrf,ko,1,7,27.22152795
207,I15,mrf,control,1,8,27.27854278
208,I16,mrf,ko,1,8,27.04127123
209,I17,tnnc1c,control,1,1,29.33947631
210,I18,tnnc1c,ko,1,1,28.42587732
211,I19,tnnc1c,control,1,2,29.10790311
212,I20,tnnc1c,ko,1,2,28.31114959
213,I21,tnnc1c,control,1,3,29.65848136
214,I22,tnnc1c,ko,1,3,28.28316959
215,I23,tnnc1c,control,1,4,29.2058516
216,I24,tnnc1c,ko,1,4,28.06026213
217,J1,mrf,control,2,1,27.01227779
218,J2,mrf,ko,2,1,27.42572753
219,J3,mrf,control,2,2,27.25272213
220,J4,mrf,ko,2,2,27.36270122
221,J5,mrf,control,2,3,27.27258459
222,J6,mrf,ko,2,3,27.45142128
223,J7,mrf,control,2,4,27.10427752
224,J8,mrf,ko,2,4,27.12127246
225,J9,mrf,control,2,5,27.3652505
226,J10,mrf,ko,2,5,27.43521562
227,J11,mrf,control,2,6,27.27110268
228,J12,mrf,ko,2,6,27.22712128
229,J13,mrf,control,2,7,27.15512188
230,J14,mrf,ko,2,7,27.22824489
231,J15,mrf,control,2,8,27.34050229
