assay,Crbn Regulatory sequences,Embryo number,Intensity,Relative intensity to 455bp Regulatory sequence Mean
Assay 3,455bp,30,26400000,1.874509236
Assay 3,455bp,31,2.30E+07,1.633095168
Assay 3,455bp,32,7220000,0.512649874
Assay 3,455bp,33,4480000,0.318098537
Assay 3,455bp,34,7990000,0.56732306
Assay 3,455bp,35,3330000,0.236443779
Assay 3,455bp,36,11300000,0.802346756
Assay 3,455bp,37,25100000,1.782203857
Assay 3,455bp,38,3300000,0.234313655
Assay 3,455bp,39,12400000,0.880451308
Assay 3,455bp,40,0,0
Assay 3,455bp,41,878000,0.062341633
Assay 3,455bp,42,8420000,0.59785484
Assay 3,455bp,43,12600000,0.894652135
Assay 3,455bp,44,8570000,0.60850546
Assay 3,455bp,45,7980000,0.566613019
Assay 3,455bp,46,2410000,0.171119972
Assay 3,455bp,47,2940000,0.208752165
Assay 3,455bp,48,0,0
Assay 3,455bp,49,9020000,0.640457322
Assay 3,455bp,50,1940000,0.137748027
Assay 3,455bp,51,0,0
Assay 3,455bp,52,0,0
Assay 1,455bp Mrf Mut,1,0,0
Assay 1,455bp Mrf Mut,2,0,0
Assay 1,455bp Mrf Mut,3,0,0
Assay 1,455bp Mrf Mut,4,0,0
Assay 1,455bp Mrf Mut,5,0,0
Assay 1,455bp Mrf Mut,6,0,0
Assay 1,455bp Mrf Mut,7,0,0
Assay 1,455bp Mrf Mut,8,0,0
Assay 1,455bp Mrf Mut,9,0,0
Assay 1,455bp Mrf Mut,10,0,0
Assay 1,455bp Mrf Mut,11,0,0
Assay 1,455bp Mrf Mut,12,0,0
Assay 1,455bp Mrf Mut,13,0,0
Assay 1,455bp Mrf Mut,14,0,0
Assay 1,455bp Mrf Mut,15,0,0
Assay 1,455bp Mrf Mut,16,0,0
Assay 1,455bp Mrf Mut,17,0,0
Assay 1,455bp Mrf Mut,18,0,0
Assay 1,455bp Mrf Mut,19,0,0
Assay 1,455bp Mrf Mut,20,0,0
Assay 1,455bp Mrf Mut,21,0,0
Assay 1,455bp Mrf Mut,22,0,0
Assay 1,455bp Mrf Mut,23,0,0
Assay 1,455bp Mrf Mut,24,0,0
Assay 1,455bp Mrf Mut,25,0,0
Assay 1,455bp Mrf Mut,26,0,0
Assay 1,455bp Mrf Mut,27,0,0
Assay 1,455bp Mrf Mut,28,0,0
Assay 1,455bp Mrf Mut,29,0,0
Assay 1,455bp Mrf Mut,30,0,0
Assay 1,455bp Mrf Mut,31,0,0
Assay 1,455bp Mrf Mut,32,0,0
Assay 1,455bp Mrf Mut,33,0,0
Assay 1,455bp Mrf Mut,34,0,0
Assay 1,455bp Mrf Mut,35,0,0
Assay 1,455bp Mrf Mut,36,0,0
Assay 1,455bp Mrf Mut,37,0,0
Assay 1,455bp Mrf Mut,38,0,0
Assay 1,455bp Mrf Mut,39,0,0
Assay 1,455bp Mrf Mut,40,0,0
Assay 1,455bp Mrf Mut,41,0,0
Assay 1,455bp Mrf Mut,42,0,0
Assay 1,455bp Mrf Mut,43,0,0
Assay 1,455bp Mrf Mut,44,0,0
Assay 1,455bp Mrf Mut,45,0,0
Assay 1,455bp Mrf Mut,46,0,0
Assay 1,455bp Mrf Mut,47,0,0
Assay 1,455bp Mrf Mut,48,0,0
Assay 1,455bp Mrf Mut,49,0,0
Assay 1,455bp Mrf Mut,50,0,0
Assay 1,455bp Mrf Mut,51,0,0
Assay 1,455bp Mrf Mut,52,0,0
Assay 2,455bp Mrf Mut,1,0,0
Assay 2,455bp Mrf Mut,2,0,0
Assay 2,455bp Mrf Mut,3,0,0
Assay 2,455bp Mrf Mut,4,0,0
Assay 2,455bp Mrf Mut,5,0,0
Assay 2,455bp Mrf Mut,6,0,0
Assay 2,455bp Mrf Mut,7,0,0
Assay 2,455bp Mrf Mut,8,0,0
Assay 2,455bp Mrf Mut,9,0,0
Assay 2,455bp Mrf Mut,10,0,0
Assay 2,455bp Mrf Mut,11,0,0
Assay 2,455bp Mrf Mut,12,0,0
Assay 2,455bp Mrf Mut,13,0,0
Assay 2,455bp Mrf Mut,14,0,0
Assay 2,455bp Mrf Mut,15,0,0
Assay 2,455bp Mrf Mut,16,0,0
Assay 2,455bp Mrf Mut,17,0,0
Assay 2,455bp Mrf Mut,18,0,0
Assay 2,455bp Mrf Mut,19,0,0
Assay 2,455bp Mrf Mut,20,0,0
Assay 2,455bp Mrf Mut,21,0,0
Assay 2,455bp Mrf Mut,22,0,0
Assay 2,455bp Mrf Mut,23,0,0
Assay 2,455bp Mrf Mut,24,0,0
Assay 2,455bp Mrf Mut,25,0,0
Assay 2,455bp Mrf Mut,26,0,0
Assay 2,455bp Mrf Mut,27,0,0
Assay 2,455bp Mrf Mut,28,0,0
Assay 2,455bp Mrf Mut,29,0,0
Assay 2,455bp Mrf Mut,30,0,0
Assay 2,455bp Mrf Mut,31,0,0
Assay 2,455bp Mrf Mut,32*,0,0
Assay 2,455bp Mrf Mut,33,0,0
Assay 2,455bp Mrf Mut,34*,0,0
Assay 2,455bp Mrf Mut,35,0,0
Assay 2,455bp Mrf Mut,36,0,0
Assay 2,455bp Mrf Mut,37*,0,0
Assay 2,455bp Mrf Mut,38,0,0
Assay 2,455bp Mrf Mut,39,0,0
Assay 2,455bp Mrf Mut,40*,0,0
Assay 2,455bp Mrf Mut,41,0,0
Assay 2,455bp Mrf Mut,42,0,0
Assay 2,455bp Mrf Mut,43,0,0
Assay 2,455bp Mrf Mut,44,0,0
Assay 2,455bp Mrf Mut,45,0,0
Assay 2,455bp Mrf Mut,46,0,0
Assay 2,455bp Mrf Mut,47,0,0
Assay 2,455bp Mrf Mut,48,0,0
Assay 2,455bp Mrf Mut,49,0,0
Assay 2,455bp Mrf Mut,50,0,0
Assay 2,455bp Mrf Mut,51,0,0
Assay 2,455bp Mrf Mut,52,0,0
Assay 3,455bp Mrf Mut,1*,0,0
Assay 3,455bp Mrf Mut,2,0,0
Assay 3,455bp Mrf Mut,3,0,0
Assay 3,455bp Mrf Mut,4,0,0
Assay 3,455bp Mrf Mut,5,0,0
Assay 3,455bp Mrf Mut,6,0,0
Assay 3,455bp Mrf Mut,7,0,0
Assay 3,455bp Mrf Mut,8,0,0
Assay 3,455bp Mrf Mut,9,0,0
Assay 3,455bp Mrf Mut,10,0,0
Assay 3,455bp Mrf Mut,11,0,0
Assay 3,455bp Mrf Mut,12,0,0
Assay 3,455bp Mrf Mut,13,0,0
Assay 3,455bp Mrf Mut,14,0,0
Assay 3,455bp Mrf Mut,15,0,0
Assay 3,455bp Mrf Mut,16,0,0
Assay 3,455bp Mrf Mut,17,0,0
Assay 3,455bp Mrf Mut,18,0,0
Assay 3,455bp Mrf Mut,19,0,0
Assay 3,455bp Mrf Mut,20,0,0
Assay 3,455bp Mrf Mut,21,0,0
Assay 3,455bp Mrf Mut,22,0,0
Assay 3,455bp Mrf Mut,23,0,0
Assay 3,455bp Mrf Mut,24,0,0
Assay 3,455bp Mrf Mut,25,0,0
Assay 3,455bp Mrf Mut,26,0,0
Assay 3,455bp Mrf Mut,27,0,0
Assay 3,455bp Mrf Mut,28,0,0
Assay 3,455bp Mrf Mut,29,0,0
Assay 3,455bp Mrf Mut,30,0,0
Assay 3,455bp Mrf Mut,31,0,0
